age,sex,sei10,polviews,mass_trans_spend_right
32,Female,64.2,Slightly liberal,1
24,Male,32,Moderate,1
81,Female,21.8,Conservative,1
19,Female,26.1,Moderate,1
41,Male,31.2,Moderate,1
67,Male,34.7,Slightly liberal,0
36,Male,85.2,Moderate,1
33,Male,87.9,Slightly liberal,0
48,Male,61.2,Conservative,1
47,Female,38.3,Moderate,1
72,Female,45.3,Moderate,0
60,Female,76.7,Slightly liberal,1
45,Female,0,Conservative,1
70,Female,82.5,Liberal,0
37,Female,43,Moderate,1
39,Female,80.9,Slightly liberal,0
57,Female,38.8,Slghtly conservative,1
55,Female,38.8,Extremely liberal,1
28,Male,18.6,Moderate,0
58,Male,32,Conservative,0
64,Female,19.6,Moderate,0
32,Male,39.7,Slightly liberal,0
63,Male,42.9,Conservative,1
47,Female,76.3,Slightly liberal,0
40,Female,32,Moderate,1
38,Male,42.7,Slightly liberal,0
63,Female,41.1,Conservative,1
49,Female,76.3,Conservative,1
74,Female,18.8,Slghtly conservative,0
66,Female,24.2,Slghtly conservative,1
34,Male,25.2,Moderate,0
42,Male,35.4,Moderate,0
66,Male,25.1,Slightly liberal,1
46,Female,27.6,Extremely liberal,1
51,Male,58.2,Moderate,0
20,Female,0,Liberal,1
54,Female,19.6,Extremely liberal,0
55,Male,28.4,Liberal,1
58,Male,28.7,Moderate,1
53,Male,99.9,Moderate,1
36,Male,70.5,Conservative,1
76,Male,38.8,Conservative,0
33,Female,39.9,Moderate,1
32,Male,59.1,Conservative,0
48,Female,53,Slghtly conservative,1
72,Female,75.5,Conservative,1
66,Female,77.4,Moderate,0
85,Female,38.8,Extrmly conservative,1
68,Female,43,Slghtly conservative,0
53,Male,71.8,Conservative,1
25,Female,24.6,Conservative,1
52,Male,26.5,Conservative,1
80,Female,24.2,Moderate,1
67,Male,79.4,Conservative,0
21,Female,21.8,Moderate,1
31,Female,22.1,Moderate,1
69,Male,58.2,Extrmly conservative,0
47,Female,80.9,Conservative,0
34,Male,57.8,Moderate,0
53,Female,20.1,Moderate,1
47,Female,33.3,Slghtly conservative,1
57,Male,45.4,Slightly liberal,1
58,Female,75.5,Moderate,0
55,Female,35.8,Extrmly conservative,1
65,Female,37.6,Moderate,1
62,Female,75.5,Conservative,1
26,Female,28.6,Moderate,1
31,Female,66.1,Moderate,1
44,Male,69.3,Conservative,1
68,Female,21.8,Slightly liberal,0
73,Female,29.6,Slightly liberal,0
57,Female,43.9,Slightly liberal,1
57,Female,79.9,Moderate,1
48,Female,61.4,Slghtly conservative,0
58,Female,20.1,Slghtly conservative,0
36,Female,45,Moderate,1
79,Female,82.5,Extremely liberal,0
55,Male,78.3,Moderate,1
19,Male,0,Conservative,1
54,Female,41,Slghtly conservative,0
60,Male,68,Slghtly conservative,0
52,Female,38.3,Conservative,1
80,Female,79.9,Slghtly conservative,0
58,Male,79.3,Conservative,1
69,Female,20.8,Moderate,1
49,Female,88.3,Liberal,1
75,Male,39.7,Slghtly conservative,1
67,Female,54.6,Moderate,1
51,Female,28.6,Moderate,1
57,Female,60.5,Slightly liberal,1
34,Male,80.7,Moderate,1
29,Female,0,Slightly liberal,1
49,Female,37.6,Moderate,1
52,Female,88,Moderate,0
54,Male,92.8,Conservative,0
48,Female,41.1,Conservative,1
34,Female,68.6,Liberal,0
30,Female,92.8,Slghtly conservative,1
77,Female,0,Conservative,0
78,Female,20.1,Moderate,1
47,Male,38.8,Moderate,0
58,Male,13.6,Moderate,1
52,Male,46,Conservative,0
49,Female,35.8,Conservative,1
83,Female,75.5,Moderate,0
23,Male,0,Liberal,0
36,Female,80.7,Moderate,1
79,Female,80.9,Liberal,1
61,Female,51.7,Conservative,0
40,Male,42.2,Slghtly conservative,1
27,Female,14.6,Conservative,1
57,Female,57.1,Extremely liberal,0
27,Male,39.9,Slightly liberal,1
66,Female,14,Slightly liberal,1
57,Female,33.4,Moderate,1
28,Female,13.6,Moderate,1
33,Female,63.7,Slghtly conservative,1
39,Male,67.7,Moderate,1
27,Male,71.7,Slightly liberal,0
34,Male,80.7,Moderate,0
28,Male,65.3,Slghtly conservative,0
50,Male,54.6,Moderate,0
30,Male,51.8,Slightly liberal,1
68,Female,31.6,Conservative,1
70,Female,26.5,Slghtly conservative,0
55,Male,32,Liberal,1
59,Male,31.3,Moderate,1
60,Female,35.8,Moderate,1
19,Female,9,Conservative,1
19,Male,0,Conservative,0
27,Male,38.8,Liberal,0
33,Female,56.9,Conservative,0
79,Male,21.3,Extremely liberal,0
56,Male,17.5,Moderate,0
53,Male,24.1,Moderate,0
32,Male,31.2,Extremely liberal,1
21,Male,20.7,Liberal,1
42,Male,25.2,Slghtly conservative,0
28,Female,37.2,Moderate,0
40,Male,52.1,Slghtly conservative,0
44,Male,31.1,Moderate,1
22,Male,38.2,Moderate,1
35,Female,87.9,Moderate,0
64,Female,26.1,Moderate,0
40,Female,80.9,Slghtly conservative,0
36,Female,50.3,Slghtly conservative,0
51,Female,13.6,Slghtly conservative,0
54,Male,61.4,Moderate,0
36,Male,51.9,Moderate,1
37,Male,36.2,Slightly liberal,1
50,Female,20.7,Liberal,0
25,Female,38.1,Liberal,1
22,Female,37.6,Liberal,1
40,Female,19.7,Extrmly conservative,1
28,Female,0,Extremely liberal,1
40,Female,38.8,Moderate,1
59,Female,61.9,Moderate,0
26,Male,61.4,Liberal,1
27,Male,27,Slightly liberal,1
69,Female,20.1,Conservative,1
53,Female,27,Extremely liberal,1
52,Male,39.7,Conservative,0
42,Male,62.6,Extremely liberal,1
60,Male,62,Moderate,0
59,Female,80.7,Slightly liberal,0
57,Male,54.3,Moderate,1
30,Female,20.1,Moderate,0
37,Female,80.9,Extremely liberal,1
40,Female,13.6,Extrmly conservative,1
33,Male,17.1,Moderate,0
51,Female,57.8,Slghtly conservative,1
46,Male,46.2,Conservative,1
52,Female,82.5,Slightly liberal,1
56,Female,76.3,Conservative,1
25,Male,59.1,Conservative,1
48,Female,21.8,Slghtly conservative,1
19,Female,0,Slightly liberal,1
36,Female,12.6,Liberal,0
28,Female,13.6,Extremely liberal,0
23,Male,19.6,Extremely liberal,0
29,Female,37.2,Moderate,1
69,Male,31.6,Moderate,0
35,Male,64.5,Liberal,0
38,Female,41.1,Slghtly conservative,1
31,Female,20.1,Moderate,1
42,Female,33.4,Conservative,0
78,Male,84.5,Liberal,0
31,Female,20.7,Extrmly conservative,1
67,Female,12.6,Slightly liberal,0
48,Female,73.5,Conservative,0
68,Male,38.1,Extremely liberal,0
42,Male,25,Slghtly conservative,1
65,Female,69.5,Liberal,1
44,Female,54.6,Liberal,1
77,Female,38.8,Slghtly conservative,0
62,Female,69.3,Liberal,1
51,Male,59.1,Slightly liberal,0
21,Female,0,Moderate,1
28,Female,71.6,Moderate,1
20,Female,0,Liberal,0
19,Female,38.3,Slghtly conservative,1
53,Female,43,Conservative,1
40,Female,28.7,Slightly liberal,0
51,Male,67.7,Moderate,0
65,Male,20.5,Slghtly conservative,0
51,Female,64.5,Moderate,0
60,Male,60.3,Moderate,1
57,Male,84,Moderate,1
70,Female,38.8,Slightly liberal,1
53,Female,0,Slightly liberal,1
37,Female,63.3,Moderate,1
56,Male,25.2,Conservative,0
59,Female,21.8,Moderate,1
21,Female,0,Slightly liberal,0
59,Male,70.4,Slghtly conservative,0
66,Male,38.2,Moderate,0
56,Male,60.5,Moderate,0
56,Female,21.8,Liberal,1
87,Female,15.8,Conservative,1
22,Female,37.6,Moderate,1
51,Male,20.7,Moderate,1
56,Female,35.8,Moderate,1
47,Female,45.3,Slghtly conservative,1
18,Male,0,Moderate,1
26,Female,49.3,Moderate,0
27,Female,24.2,Slightly liberal,0
33,Female,35.8,Slghtly conservative,1
31,Female,29.9,Conservative,1
70,Female,84.5,Moderate,0
51,Female,43,Extremely liberal,0
87,Female,59.1,Moderate,1
54,Female,77.4,Moderate,0
81,Female,79.3,Liberal,0
25,Male,34.7,Liberal,0
47,Male,32.6,Conservative,1
65,Male,69.4,Slghtly conservative,1
46,Male,37.6,Slghtly conservative,0
51,Male,99.9,Slightly liberal,0
53,Male,87.3,Moderate,1
45,Female,89.4,Moderate,1
18,Female,19.6,Slightly liberal,0
52,Female,72.7,Extremely liberal,0
56,Female,28.7,Moderate,1
34,Male,37.6,Slightly liberal,0
58,Female,41.1,Conservative,1
59,Male,42.7,Moderate,1
69,Female,63.7,Conservative,0
67,Female,20.7,Liberal,0
54,Female,62.9,Moderate,1
53,Male,65.1,Conservative,0
47,Female,71.8,Extremely liberal,1
47,Male,65.3,Slightly liberal,0
32,Female,56.8,Moderate,1
28,Female,43,Slightly liberal,1
23,Female,27,Moderate,1
53,Female,84.2,Conservative,0
51,Male,32,Moderate,1
66,Female,63.7,Liberal,0
54,Male,86.5,Slghtly conservative,1
68,Male,36.2,Liberal,0
58,Male,62,Conservative,1
47,Male,77.4,Conservative,0
33,Female,56.9,Slghtly conservative,0
66,Female,38.8,Moderate,0
27,Male,46.5,Liberal,0
54,Male,32,Liberal,1
53,Male,34.4,Slightly liberal,0
54,Male,84.2,Moderate,1
67,Male,43,Slightly liberal,1
67,Female,20.1,Extrmly conservative,1
65,Female,84.2,Moderate,1
23,Female,73.9,Slightly liberal,0
27,Female,54.6,Moderate,1
28,Male,25,Moderate,1
34,Female,55.3,Moderate,0
27,Female,66.1,Moderate,0
60,Male,20.7,Moderate,0
26,Male,25,Slightly liberal,1
74,Female,24.6,Moderate,1
31,Male,27.4,Slightly liberal,0
63,Male,39.6,Moderate,0
72,Female,50.1,Moderate,1
25,Male,73.4,Liberal,0
35,Male,21.6,Moderate,0
56,Male,52.4,Slghtly conservative,1
20,Female,0,Slightly liberal,1
75,Male,45.4,Moderate,0
43,Female,69.3,Slghtly conservative,0
28,Female,41.1,Liberal,1
68,Male,46,Moderate,0
61,Female,41.1,Moderate,1
46,Female,19.6,Slightly liberal,0
53,Male,76.3,Moderate,0
35,Female,67.7,Moderate,0
70,Female,87.9,Moderate,0
59,Female,20.9,Moderate,1
47,Male,36.4,Slightly liberal,1
22,Female,38.2,Moderate,0
65,Female,84.2,Slghtly conservative,1
81,Female,63.7,Slghtly conservative,0
74,Male,69.3,Moderate,0
77,Female,80.9,Liberal,0
22,Male,19.6,Moderate,0
54,Male,81.9,Moderate,0
48,Female,67.7,Liberal,0
43,Male,59.8,Moderate,0
27,Female,37.6,Slghtly conservative,1
30,Female,87.9,Moderate,1
55,Female,0,Slightly liberal,1
40,Male,87.9,Liberal,1
51,Male,55.3,Moderate,0
21,Female,22.4,Slghtly conservative,0
29,Male,27,Slghtly conservative,1
83,Female,25,Moderate,0
81,Female,35.8,Slightly liberal,1
